id,name,key,time_signature,ratio_corcheas_negras,muiñeira_type
0,Muiñeira dos Fosados,C major,6/8,0.09615384615384616,C2
1,Detrás das airas,C major,6/8,0.2465753424657534,C1
2,Muiñeira de Quindous,C major,6/8,0.3125,C1
3,Muiñeira de Quindous,C major,6/8,0.3076923076923077,C1
4,Muiñeira,C major,6/8,0.18,C1
5,Muiñeira de Monforte,C major,6/8,0.24,C1
6,Muiñeira de Ventosa,C major,6/8,0.16,C1
7,Muiñeira,C major,6/8,0.23076923076923078,C1
8,Muiñeira dos Dezas,C major,6/8,0.14102564102564102,C1
9,Muiñeira de Coia,F major,6/8,0.21888412017167383,C1
10,Muiñeira da Fonsagrada,C major,6/8,0.19658119658119658,
11,Palmo e meio de buxo,a minor,6/8,0.13043478260869565,C2
12,O recuncho da palleta,C major,6/8,0.07017543859649122,C2
13,Finiña,C major,6/8,0.11494252873563218,C2
14,Finiña dos Meus Amores,C major,6/8,0.192090395480226,C2
15,Carballesa,C major,2/4,0.24074074074074073,
16,Carballesa,C major,2/4,0.23076923076923078,C2
17,Muiñeira de Ambite,C major,6/8,0.12903225806451613,C1
18,Muiñeira de Pastoriza,C major,6/8,0.05714285714285714,C1
19,Muiñeira de Montrove,C major,6/8,0.38181818181818183,C2
20,Muiñeira de Eirís,C major,6/8,0.09375,C2
21,Muiñeira dos Nenos,C major,6/8,0.21333333333333335,C1
22,Moliñeira da Rogueira,C major,6/8,0.38202247191011235,C1
23,Faragulliñas,C major,6/8,0.25,C2
24,Muiñeira do Lar,a minor,6/8,0.2,C1
25,Muiñeira do Lar,d minor,6/8,0.2727272727272727,C2
26,Muiñeira da Fontesanta,C major,6/8,0.11194029850746269,C1
27,Muiñeira da Fonsagrada,C major,6/8,0.13333333333333333,C1
28,Muiñeira da Fonsagrada,C major,6/8,0.13333333333333333,C1
29,Muiñeira de Campolameiro,C major,6/8,0.03773584905660377,C1
30,Muiñeira de Campolameiro,C major,6/8,0.0380952380952381,C1
31,Muiñeira vella de Romeor,C major,6/8,0.09375,C1
32,Muiñeira vella de Romeor,C major,6/8,0.03773584905660377,C1
33,Muiñeira do Canizo,F major,6/8,1.1851851851851851,C2
34,Ao muiño vais,d minor,12/8,0.6363636363636364,C2
35,Muiñeira,F major,6/8,0.24242424242424243,C2
36,Muiñeira de Arabexo,C major,6/8,0.11764705882352941,C1
37,Muiñeira,d minor,6/8,0.19879518072289157,C2
38,Muiñeira de Trasmonte,C major,6/8,0.1865671641791045,C1
39,Muiñeira de Trasmonte,C major,6/8,0.16666666666666666,C1
40,Muiñeira de Paulino,C major,6/8,0.12903225806451613,C1
41,Muiñeira de Paulino,C major,6/8,0.0967741935483871,C2
42,Muiñeira de Boimoirto,C major,6/8,0.11956521739130435,C2
43,Muiñeira dos Ancares,C major,6/8,0.042105263157894736,C2
44,Muiñeira de Meira,C major,6/8,0.10967741935483871,C1
45,Muiñeira de Polín,C major,6/8,0.22972972972972974,C1
46,Muiñeira de Infesta,C major,6/8,0.1728395061728395,C1
47,Muiñeira de Vilaverde,a minor,6/8,0.20754716981132076,C1
48,Muiñeira de Gonte,C major,6/8,0.16216216216216217,C1
49,Muiñeira de Gonte,C major,6/8,0.30303030303030304,C1
50,Muiñeira de San Cosmade,c minor,6/8,0.06432748538011696,C1
51,Muiñeira de Cabra,c minor,6/8,0.1625,C1
52,Muiñeira de Pol,C major,6/8,0.12941176470588237,C1
53,Muiñeira de Ambite,C major,6/8,0.018867924528301886,C1
54,Muiñeira de Santa Cristina de Marcelle,a minor,6/8,0.12056737588652482,C2
55,Muiñeira de Oirós,C major,6/8,0.14634146341463414,C1
56,Aires do Castelo,C major,6/8,0.16025641025641027,C2
57,Muiñeira,C major,6/8,0.11965811965811966,C2
58,Muiñeira de Rebulín,C major,6/8,0.10810810810810811,C1
59,Muiñeira da Dina,C major,6/8,0.21839080459770116,C2
60,Mariñana,F major,6/8,0.25824175824175827,C1
61,"Arrechégate, Lourenza",F major,6/8,0.20297029702970298,C2
62,"¡Ei, os de Sergude!",C major,6/8,0.21554770318021202,C2
63,Ai Rosiña,C major,6/8,0.18877551020408162,C1
64,Na freixa,F major,6/8,0.14285714285714285,C1
65,Primeira de Laura,C major,6/8,0.06382978723404255,C1
66,Muiñeira de Corme,C major,6/8,0.14754098360655737,C1
67,Muiñeira de Corme,C major,6/8,0.05263157894736842,C1
68,Muiñeira de Santiago de Miraz,C major,6/8,0.4189189189189189,C1
69,Muiñeira de Santiago de Miraz,C major,6/8,0.29069767441860467,C1
70,Muiñeira de Sendelle,C major,6/8,0.10256410256410256,C1
71,Muiñeira de Sendelle,C major,6/8,0.07317073170731707,C1
72,Muiñeira,C major,6/8,0.10752688172043011,C2
73,Muiñeira de Monterrei,a minor,6/8,0.2698412698412698,C1
74,Muiñeira de Monterrei,a minor,6/8,0.21311475409836064,C1
75,Muiñeira das Nogais,C major,6/8,0.11428571428571428,C1
76,Carballesa,C major,2/4,0.15873015873015872,C2
77,Muiñeira de Cercedo,C major,6/8,0.16167664670658682,C2
78,Muiñeira de Eiriz,C major,6/8,0.46808510638297873,C2
79,Muiñeira,C major,6/8,0.12222222222222222,C1
80,Muiñeira de San Fins,C major,6/8,0.4,C2
81,Muiñeira de Pazos de Borbén,C major,6/8,1.9047619047619047,C2
82,Muiñeira de Borreiro,C major,6/8,0.13333333333333333,C2
83,Muiñeira de Borreiro,C major,6/8,0.14457831325301204,C2
