id,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,lat,lon,count_seventh,seventh_ratio,location,classification
1,Detrás das airas,C major,6/8,0.2465753424657534,C1,42.3074449,-7.9018209,16,0.1428571428571428,"As Airas, Ourense",Not classified
2,Muiñeira de Quindous,C major,6/8,0.3125,C1,42.8556407,-6.9957933,4,0.0470588235294117,"Quindous, Cervantes, Lugo",Ancares
3,Muiñeira de Quindous,C major,6/8,0.3076923076923077,C1,42.8556407,-6.9957933,2,0.0235294117647058,"Quindous, Cervantes, Lugo",Ancares
5,Muiñeira de Monforte,C major,6/8,0.24,C1,42.5236693,-7.5096951,6,0.0483870967741935,"Monforte, Lugo",Not classified
6,Muiñeira de Ventosa,C major,6/8,0.16,C1,42.7366955,-7.97617,6,0.0659340659340659,"Ventosa, Pontevedra",Not classified
9,Muiñeira de Coia,F major,6/8,0.2188841201716738,C1,42.2182924,-8.7441073,29,0.102112676056338,"Coia, Vigo, Pontevedra",Rias Baixas
16,Carballesa,C major,2/4,0.2307692307692307,C2,43.0074402,-8.1269242,0,0.0,"Boimorto, A Coruña",Not classified
18,Muiñeira de Pastoriza,C major,6/8,0.0571428571428571,C1,43.3000026,-7.3511022,9,0.081081081081081,"Pastoriza, Lugo",A Fonsagrada-Asturias
19,Muiñeira de Montrove,C major,6/8,0.3818181818181818,C2,43.2803751,-8.3297129,11,0.1294117647058823,"Montrove, Cambre, A Coruña",A Coruña
20,Muiñeira de Eirís,C major,6/8,0.09375,C2,43.3426745,-8.395072,10,0.0709219858156028,"Eirís, A Coruña, A Coruña",A Coruña
22,Moliñeira da Rogueira,C major,6/8,0.3820224719101123,C1,42.6088781,-7.1152898,8,0.064516129032258,"Rogueira, Lugo",Courel
29,Muiñeira de Campolameiro,C major,6/8,0.0377358490566037,C1,42.5422912,-8.540772255060599,7,0.0636363636363636,"Campolameiro, Pontevedra",Rias Baixas
30,Muiñeira de Campolameiro,C major,6/8,0.0380952380952381,C1,42.5422912,-8.540772255060599,8,0.0661157024793388,"Campolameiro, Pontevedra",Rias Baixas
31,Muiñeira vella de Romeor,C major,6/8,0.09375,C1,42.6407659,-7.0946001,13,0.1238095238095238,"Romeor, Folgoso do Courel, Lugo",Courel
32,Muiñeira vella de Romeor,C major,6/8,0.0377358490566037,C1,42.6407659,-7.0946001,7,0.0636363636363636,"Romeor, Folgoso do Courel, Lugo",Courel
33,Muiñeira do Canizo,F major,6/8,1.1851851851851851,C2,42.0559598,-7.0906188,2,0.0327868852459016,"O Canizo, A Gudiña, Ourense",Portuguese Border
