id,name,parroquia,concellu,province,key,time_signature,count_seventh,ratio_negras_corcheas,muiñeira_type
1,Detrás das airas,,As Airas,Ourense,C major,6/8,16,0.2465753424657534,C1
2,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8,4,0.3125,C1
3,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8,2,0.3076923076923077,C1
5,Muiñeira de Monforte,,Monforte,Lugo,C major,6/8,6,0.24,C1
6,Muiñeira de Ventosa,,Ventosa,Pontevedra,C major,6/8,6,0.16,C1
9,Muiñeira de Coia,Coia,Vigo,Pontevedra,F major,6/8,29,0.21888412017167383,C1
16,Carballesa,,Boimorto,A Coruña,C major,2/4,0,0.23076923076923078,C2
18,Muiñeira de Pastoriza,,Pastoriza,Lugo,C major,6/8,9,0.05714285714285714,C1
19,Muiñeira de Montrove,Montrove,Cambre,A Coruña,C major,6/8,11,0.38181818181818183,C2
20,Muiñeira de Eirís,Eirís,A Coruña,A Coruña,C major,6/8,10,0.09375,C2
22,Moliñeira da Rogueira,,Rogueira,Lugo,C major,6/8,8,0.38202247191011235,C1
29,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8,7,0.03773584905660377,C1
30,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8,8,0.0380952380952381,C1
31,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,13,0.09375,C1
32,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,7,0.03773584905660377,C1
33,Muiñeira do Canizo,O Canizo,A Gudiña,Ourense,F major,6/8,2,1.1851851851851851,C2
36,Muiñeira de Arabexo,Arabexo,Val do Dubra,A Coruña,C major,6/8,2,0.11764705882352941,C1
38,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8,5,0.1865671641791045,C1
39,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8,4,0.16666666666666666,C1
42,Muiñeira de Boimoirto,Boimorto,,A Coruña,C major,6/8,3,0.11956521739130435,C2
43,Muiñeira dos Ancares,,Ancares,Lugo,C major,6/8,8,0.042105263157894736,C2
44,Muiñeira de Meira,,Meira,Lugo,C major,6/8,13,0.10967741935483871,C1
45,Muiñeira de Polín,Polín,Folgoso do Courel,Lugo,C major,6/8,8,0.22972972972972974,C1
46,Muiñeira de Infesta,Infesta,,,C major,6/8,14,0.1728395061728395,C1
47,Muiñeira de Vilaverde,Piñeiro,Ames,A Coruña,a minor,6/8,31,0.20754716981132076,C1
48,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8,3,0.16216216216216217,C1
49,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8,3,0.30303030303030304,C1
50,Muiñeira de San Cosmade,San Cosmade,Cerceda,A Coruña,c minor,6/8,0,0.06432748538011696,C1
51,Muiñeira de Cabra,Queixas,Cerceda,A Coruña,c minor,6/8,0,0.1625,C1
52,Muiñeira de Pol,,Pol,Lugo,C major,6/8,12,0.12941176470588237,C1
