,id,name,parroquia,concellu,province,key,time_signature,ratio_negras_corcheas
0,1,Detrás das airas,,As Airas,Ourense,C major,6/8,0.2465753424657534
1,2,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8,0.3125
2,3,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8,0.3076923076923077
3,5,Muiñeira de Monforte,,Monforte,Lugo,C major,6/8,0.24
4,6,Muiñeira de Ventosa,,Ventosa,Pontevedra,C major,6/8,0.16
5,9,Muiñeira de Coia,Coia,Vigo,Pontevedra,F major,6/8,0.21888412017167383
6,16,Carballesa,,Boimorto,A Coruña,C major,2/4,0.23076923076923078
7,17,Muiñeira de Ambite,,,,C major,6/8,0.12903225806451613
8,18,Muiñeira de Pastoriza,,Pastoriza,Lugo,C major,6/8,0.05714285714285714
9,19,Muiñeira de Montrove,Montrove,Cambre,A Coruña,C major,6/8,0.38181818181818183
10,20,Muiñeira de Eirís,Eirís,A Coruña,A Coruña,C major,6/8,0.09375
11,22,Moliñeira da Rogueira,,Rogueira,Lugo,C major,6/8,0.38202247191011235
12,29,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8,0.03773584905660377
13,30,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8,0.0380952380952381
14,31,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,0.09375
15,32,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,0.03773584905660377
16,33,Muiñeira do Canizo,O Canizo,A Gudiña,Ourense,F major,6/8,1.1851851851851851
17,36,Muiñeira de Arabexo,Arabexo,Val do Dubra,A Coruña,C major,6/8,0.11764705882352941
18,38,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8,0.1865671641791045
19,39,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8,0.16666666666666666
20,42,Muiñeira de Boimoirto,Boimorto,A Coruña,,C major,6/8,0.11956521739130435
21,43,Muiñeira dos Ancares,,Ancares,Lugo,C major,6/8,0.042105263157894736
22,44,Muiñeira de Meira,,Meira,Lugo,C major,6/8,0.10967741935483871
23,45,Muiñeira de Polín,Polín,Folgoso do Courel,Lugo,C major,6/8,0.22972972972972974
24,46,Muiñeira de Infesta,Infesta,,,C major,6/8,0.1728395061728395
25,47,Muiñeira de Vilaverde,Piñeiro,Ames,A Coruña,a minor,6/8,0.20754716981132076
26,48,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8,0.16216216216216217
27,49,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8,0.30303030303030304
28,50,Muiñeira de San Cosmade,San Cosmade,Cerceda,A Coruña,c minor,6/8,0.06432748538011696
29,51,Muiñeira de Cabra,Queixas,Cerceda,A Coruña,c minor,6/8,0.1625
30,52,Muiñeira de Pol,,Pol,Lugo,C major,6/8,0.12941176470588237
31,54,Muiñeira de Santa Cristina de Marcelle,Santa Cristina de Marcelle,A Baña,A Coruña ,a minor,6/8,0.12056737588652482
32,55,Muiñeira de Oirós,Oirós,Vila de Cruces,Pontevedra,C major,6/8,0.14634146341463414
33,56,Aires do Castelo,,,,C major,6/8,0.16025641025641027
34,66,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8,0.14754098360655737
35,67,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8,0.05263157894736842
36,68,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8,0.4189189189189189
37,69,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8,0.29069767441860467
38,70,Muiñeira de Sendelle,Sendelle,Boimorto,A Coruña,C major,6/8,0.10256410256410256
39,71,Muiñeira de Sendelle,Sendelle,Biomorto,A Coruña,C major,6/8,0.07317073170731707
40,73,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8,0.2698412698412698
41,74,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8,0.21311475409836064
42,75,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8,0.11428571428571428
43,76,Carballesa,,O Carballiño,Ourense,C major,2/4,0.15873015873015872
44,77,Muiñeira de Cercedo,,Cercedo,Pontevedra,C major,6/8,0.16167664670658682
45,78,Muiñeira de Eiriz,Eiriz,Folgoso do Courel,Lugo,C major,6/8,0.46808510638297873
46,80,Muiñeira de San Fins,San Fins,,,C major,6/8,0.4
47,81,Muiñeira de Pazos de Borbén,Pazos de Borbén,Pontevedra,,C major,6/8,1.9047619047619047
48,82,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8,0.13333333333333333
49,83,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8,0.14457831325301204
50,84,Muiñeira de Burón,,Burón,León,C major,6/8,0.2076923076923077
51,85,Muiñeira de Burón,,Burón,León,C major,6/8,0.17692307692307693
52,89,Muiñeira de Santos,,A Fonsagrada,Lugo,C major,6/8,0.07894736842105263
53,90,Montañesa de Lugo,,Lugo,Lugo,C major,6/8,0.19298245614035087
54,91,Montañesa de Lugo,,,Lugo,C major,6/8,0.21238938053097345
55,92,Muiñeira de San Román de Cervantes,San Román,Cervantes,Lugo,C major,6/8,0.3068181818181818
56,93,Muiñeira,Navia de Suarna,Lugo,,C major,6/8,0.3333333333333333
57,96,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8,0.1276595744680851
58,97,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8,0.4126984126984127
59,98,Muiñeira,,Cangas,Pontevedra,F major,6/8,0.75
60,99,Muiñeira,Aldán,Cangas,Pontevedra,F major,6/8,0.75
61,100,Muiñeira de Aldán,Aldán,Cangas,Pontevedra,F major,6/8,0.2708333333333333
62,106,Muiñeira de Casadelas,Lema,Baldaio,A Coruña,C major,6/8,0.05319148936170213
63,107,Muiñeira de Calvos,Calvos,Calvos de Randín,Ourense,a minor,6/8,1.7
64,108,Muiñeira de Trarigo,Trarigo,Bande,Ourense,C major,6/8,0.1780821917808219
65,109,Muiñeira de Lucas,Sambreixo,Parga,Lugo,C major,6/8,0.36507936507936506
66,110,Muiñeira de Leiloio,Leiloio,Malpica,A Coruña,C major,6/8,0.088
67,112,Muiñeira Vella de Mórdomo,Traba,Laxe,A Coruña,C major,6/8,0.02040816326530612
68,113,Muiñeira Vella de Mórdomo,Traba,Laxe,A Coruña,C major,6/8,0.05263157894736842
69,116,Muiñeira de Carballo,,Carballo,A Coruña,C major,6/8,0.12345679012345678
