,name,location
0,Muiñeira dos Fosados, Fosados
1,Detrás das airas, airas
2,Muiñeira de Quindous, Quindous
3,Muiñeira de Quindous, Quindous
4,Muiñeira,
5,Muiñeira de Monforte, Monforte
6,Muiñeira de Ventosa, Ventosa
7,Muiñeira,
8,Muiñeira dos Dezas, Dezas
9,Muiñeira de Coia, Coia
10,Muiñeira da Fonsagrada,
11,Palmo e meio de buxo, 
12,O recuncho da palleta,
13,Finiña,
14,Finiña dos Meus Amores,
15,Carballesa,
16,Carballesa,
17,Muiñeira de Ambite, Ambite
18,Muiñeira de Pastoriza, Pastoriza
19,Muiñeira de Montrove, Montrove
20,Muiñeira de Eirís, Eirís
21,Muiñeira dos Nenos,
22,Moliñeira da Rogueira, Rogueira
23,Faragulliñas,
24,Muiñeira do Lar, Lar
25,Muiñeira do Lar, Lar
26,Muiñeira da Fontesanta,
27,Muiñeira da Fonsagrada,
28,Muiñeira da Fonsagrada,
29,Muiñeira de Campolameiro, Campolameiro
30,Muiñeira de Campolameiro, Campolameiro
31,Muiñeira vella de Romeor, Romeor
32,Muiñeira vella de Romeor, Romeor
33,Muiñeira do Canizo, Canizo
34,Ao muiño vais,
35,Muiñeira,
36,Muiñeira de Arabexo, Arabexo
37,Muiñeira,
38,Muiñeira de Trasmonte, Trasmonte
39,Muiñeira de Trasmonte, Trasmonte
40,Muiñeira de Paulino,  
41,Muiñeira de Paulino,  
42,Muiñeira de Boimoirto, Boimoirto
43,Muiñeira dos Ancares, Ancares
44,Muiñeira de Meira, Meira
45,Muiñeira de Polín, Polín
46,Muiñeira de Infesta, Infesta
47,Muiñeira de Vilaverde, Vilaver
48,Muiñeira de Gonte, Gonte
49,Muiñeira de Gonte, Gonte
50,Muiñeira de San Cosmade, San Cosma
51,Muiñeira de Cabra, Cabra
52,Muiñeira de Pol, Pol
53,Muiñeira de Ambite, Ambite
54,Muiñeira de Santa Cristina de Marcelle, Santa Cristina 
55,Muiñeira de Oirós, Oirós
56,Aires do Castelo, Castelo
57,Muiñeira,
58,Muiñeira de Rebulín, Rebulín
59,Muiñeira da Dina,
60,Mariñana,
61,"Arrechégate, Lourenza",
62,"¡Ei, os de Sergude!",
63,Ai Rosiña,
64,Na freixa,
65,Primeira de Laura,
66,Muiñeira de Corme, Corme
67,Muiñeira de Corme, Corme
68,Muiñeira de Santiago de Miraz, Santiago 
69,Muiñeira de Santiago de Miraz, Santiago 
70,Muiñeira de Sendelle, Sen
71,Muiñeira de Sendelle, Sen
72,Muiñeira,
73,Muiñeira de Monterrei, Monterrei
74,Muiñeira de Monterrei, Monterrei
75,Muiñeira das Nogais, Nogais
76,Carballesa,
77,Muiñeira de Cercedo, Cercedo
78,Muiñeira de Eiriz, Eiriz
79,Muiñeira,
80,Muiñeira de San Fins, San Fins
81,Muiñeira de Pazos de Borbén, Pazos 
82,Muiñeira de Borreiro, Borreiro
83,Muiñeira de Borreiro, Borreiro
84,Muiñeira de Burón, Burón
85,Muiñeira de Burón, Burón
86,Danza do Molete, Molete
87,A Alfonsina,
88,Carballesa de Ibio, Ibio
89,Muiñeira de Santos, Santos
90,Montañesa de Lugo, Lugo
91,Muiñeira Montañesa,
92,Muiñeira de San Román de Cervantes, San Román de Cervantes 
93,Muiñeira,
94,"Baila, nena",
95,Muiñeira,
96,Muiñeira,
97,Muiñeira,
98,Muiñeira,
99,Muiñeira,
100,Muiñeira de Aldán, Aldán
101,Muiñeira,
102,Ribeirana,
103,Carballesa,
104,Muiñeira,
105,Muiñeira del Gallo,
106,Muiñeira de Casadelas, Casadelas
107,Muiñeira de Calvos, Calvos
108,Muiñeira de Trarigo, Trarigo
109,Muiñeira de Lucas,
110,Muiñeira de Leiloio, Leiloio
111,Muiñeira Vella,
112,Muiñeira Vella de Mórdomo,Vella de Mórdomo
113,Muiñeira Vella de Mórdomo,Vella de Mórdomo
114,Muiñeira,
115,Muiñeira de Clemente, Clemente
116,Muiñeira de Carballo, Carballo
117,Muiñeira de Grixalba, Grixalba
118,Muiñeira de Vilamaior, Vilamaior
119,Muiñeira de Cances, Cances
120,Muiñeira,
121,Muiñeira de Florencio, Florencio
122,Muiñeira de Rodís, Rodís
123,Muliñeira de Romeor, Romeor
124,Muiñeira de Romeor, Romeor
125,Muiñeira,
126,Muiñeira de Oliveira, Oliveira
127,O Camiño do Santo Cristo, Santo Cristo
128,Muiñeira de Buscás, Buscás
129,Muiñeira das Nasas, Nasas
130,Muiñeira da Fonsagrada,
131,Muiñeira da Fonsagrada,
132,Muiñeira da Cabra,
133,Na Fonte do Teutro, Teutro
134,Muiñeira de Umoso, Umoso
135,Muiñeira de Ponte Maceira, Ponte Maceira
136,Muiñeira de Calvos de Randín, Calvos de Randín 
137,Muiñeira de Aranga, Aranga
138,Muiñeira da Armenteira,
139,Muiñeira de Santiso, Santiso
140,Muiñeira de Xinzo, Xinzo
141,Muiñeira de Forcarei, Forcarei
142,Muiñeira Nova,
143,Muiñeira da Fonsagrada,
144,Muiñeira de Riocereixa, Riocereixa
145,Muiñeira de Gulpilleira, Gulpilleira
146,Muiñeira de Pacios de Mourisco, Pacios 
147,Muiñeira de Teixeira, Teixeira
