,name,parroquia,concellu,province,key,time_signature
0,Detrás das airas,,As Airas,Ourense,C major,6/8
1,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8
2,Muiñeira de Quindous,Quindous,Cervantes,Lugo,C major,6/8
3,Muiñeira de Monforte,,Monforte,Lugo,C major,6/8
4,Muiñeira de Ventosa,,Ventosa,Pontevedra,C major,6/8
5,Muiñeira de Coia,Coia,Vigo,Pontevedra,F major,6/8
6,Carballesa,,Boimorto,A Coruña,C major,2/4
7,Muiñeira de Ambite,,,,C major,6/8
8,Muiñeira de Pastoriza,,Pastoriza,Lugo,C major,6/8
9,Muiñeira de Montrove,Montrove,Cambre,A Coruña,C major,6/8
10,Muiñeira de Eirís,Eirís,A Coruña,A Coruña,C major,6/8
11,Moliñeira da Rogueira,,Rogueira,Lugo,C major,6/8
12,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8
13,Muiñeira de Campolameiro,,Campolameiro,Pontevedra,C major,6/8
14,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8
15,Muiñeira vella de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8
16,Muiñeira do Canizo,O Canizo,A Gudiña,Ourense,F major,6/8
17,Muiñeira de Arabexo,Arabexo,Val do Dubra,A Coruña,C major,6/8
18,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8
19,Muiñeira de Trasmonte,Trasmonte,Ames,A Coruña,C major,6/8
20,Muiñeira de Boimoirto,Boimorto,A Coruña,,C major,6/8
21,Muiñeira dos Ancares,,Ancares,Lugo,C major,6/8
22,Muiñeira de Meira,,Meira,Lugo,C major,6/8
23,Muiñeira de Polín,Polín,Folgoso do Courel,Lugo,C major,6/8
24,Muiñeira de Infesta,Infesta,,,C major,6/8
25,Muiñeira de Vilaverde,Piñeiro,Ames,A Coruña,a minor,6/8
26,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8
27,Muiñeira de Gonte,Gonte,Negreira,A Coruña,C major,6/8
28,Muiñeira de San Cosmade,San Cosmade,Cerceda,A Coruña,c minor,6/8
29,Muiñeira de Cabra,Queixas,Cerceda,A Coruña,c minor,6/8
30,Muiñeira de Pol,,Pol,Lugo,C major,6/8
31,Muiñeira de Santa Cristina de Marcelle,Santa Cristina de Marcelle,A Baña,A Coruña ,a minor,6/8
32,Muiñeira de Oirós,Oirós,Vila de Cruces,Pontevedra,C major,6/8
33,Aires do Castelo,,,,C major,6/8
34,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8
35,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8
36,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8
37,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8
38,Muiñeira de Sendelle,Sendelle,Boimorto,A Coruña,C major,6/8
39,Muiñeira de Sendelle,Sendelle,Biomorto,A Coruña,C major,6/8
40,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8
41,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8
42,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8
43,Carballesa,,O Carballiño,Ourense,C major,2/4
44,Muiñeira de Cercedo,,Cercedo,Pontevedra,C major,6/8
45,Muiñeira de Eiriz,Eiriz,Folgoso do Courel,Lugo,C major,6/8
46,Muiñeira de San Fins,San Fins,,,C major,6/8
47,Muiñeira de Pazos de Borbén,Pazos de Borbén,Pontevedra,,C major,6/8
48,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8
49,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8
50,Muiñeira de Burón,,Burón,León,C major,6/8
51,Muiñeira de Burón,,Burón,León,C major,6/8
52,Muiñeira de Santos,,A Fonsagrada,Lugo,C major,6/8
53,Montañesa de Lugo,,Lugo,Lugo,C major,6/8
54,Montañesa de Lugo,,,Lugo,C major,6/8
55,Muiñeira de San Román de Cervantes,San Román,Cervantes,Lugo,C major,6/8
56,Muiñeira,Navia de Suarna,Lugo,,C major,6/8
57,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8
58,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8
59,Muiñeira,,Cangas,Pontevedra,F major,6/8
60,Muiñeira,Aldán,Cangas,Pontevedra,F major,6/8
61,Muiñeira de Aldán,Aldán,Cangas,Pontevedra,F major,6/8
62,Muiñeira de Casadelas,Lema,Baldaio,A Coruña,C major,6/8
63,Muiñeira de Calvos,Calvos,Calvos de Randín,Ourense,a minor,6/8
64,Muiñeira de Trarigo,Trarigo,Bande,Ourense,C major,6/8
65,Muiñeira de Lucas,Sambreixo,Parga,Lugo,C major,6/8
